sats,hdop,lat,lng,course,speed
5,0.399433864,12.924244,80.159507,3.234,20.34295
5,0.680280995,12.919914,80.159505,3.234,10.25631
7,0.225045556,12.92057101,80.158524,275.241,40.92721
4,0.894291147,12.92047864,80.157694,275.6939544,41.5720703
8,0.324165553,12.92007731,80.15758468,275.5621149,41.54537891
4,0.876029511,12.92048755,80.15734258,275.8017503,41.26220114
6,0.041875237,12.92087631,80.15714561,275.7022133,41.59956865
6,0.252554835,12.92054755,80.1566263,275.6592996,41.3857409
7,0.797705481,12.896792,80.1524109,275.8160251,41.67980466
6,0.892525563,12.89699189,80.15239196,275.553879,41.6281995
5,0.017654368,12.89681101,80.15238577,275.552679,41.49515518
5,0.081003883,12.89710223,80.15232996,275.8204726,41.54924306
8,0.561007005,12.89714975,80.15232132,275.8277744,41.88587315
4,0.388171037,12.89681586,80.15228777,275.6840908,41.03508257
8,0.192072381,12.89652115,80.15224283,275.8811846,41.31110499
8,0.294545015,12.89681463,80.152173,276.2293495,41.89172286
6,0.757095092,12.921187,80.15219862,182.5254,50.2457
7,0.943667429,12.92085787,80.15214831,183.0360399,59.73299345
8,0.357422439,12.92070644,80.15217154,183.1576513,60.22098243
7,0.919367062,12.92021267,80.15213331,183.1341166,56.71117259
6,0.159975432,12.91972301,80.1521797,182.9099735,59.58810384
4,0.850831454,12.91931751,80.15213036,183.1416925,52.97571643
8,0.94166055,12.91888409,80.15214121,182.9349874,56.5363784
8,0.589265246,12.91857323,80.15220412,183.0400849,56.51512243
4,0.39347218,12.91843528,80.15213281,183.2589888,50.83055901
4,0.357316755,12.918224,80.15221876,183.1952559,53.81332033
8,0.718858222,12.91815933,80.15212824,182.7204761,56.11255992
4,0.517058371,12.91770397,80.15221909,182.7907654,54.62904078
7,0.611100168,12.91748815,80.15215769,183.1495629,55.36316582
7,0.48307766,12.91747766,80.15217718,182.9515028,51.87592903
8,0.443002616,12.9171241,80.15220398,182.7714694,56.75299817
8,0.352730951,12.91692815,80.1521457,182.9445734,55.62025539
5,0.251919984,12.9166619,80.15215822,183.1081678,52.04637328
6,0.268935309,12.9155994,80.15212349,183.2075009,56.33210135
